unitCode,unitName,routeName,xValue,yValue,mean_passenger_126_traffic,mean_freight_345_traffic,mean_total_traffic,std_freight_345_traffic,mean_freight_345_share,traffic_volatility,inflow_freight,outflow_freight,imbalance_ratio,abs_imbalance_ratio,mean_freight_345_share_scaled,mean_freight_345_traffic_scaled,traffic_volatility_scaled,abs_imbalance_ratio_scaled,vulnerability_score,vulnerability_grade,geometry,local_moran_i,local_p_value,lisa_quadrant,lisa_significant,lisa_cluster,cluster_color,mean_diesel_shock_index_30d,max_diesel_shock_index_30d,fuel_shock_impact_score_mean,fuel_shock_impact_score_max,fuel_shock_impact_grade,impact_grade,grade_color
101,서울,경부선,127.102077,37.365046,84877.59860557769,10686.261952191237,95563.86055776892,1894.6656702701591,0.1114162954160353,0.177299197675166,10140.719123505976,11231.804780876491,0.0510508568034301,0.0510508568034301,0.3052203388415746,1.0,0.0,0.0646595843911461,0.4044980185307015,Very High,POINT (127.102077 37.365046),-1.4717076403838765,0.152,4,False,Not significant,#d9d9d9,0.5963145671905431,1.0,0.24120806084956756,0.4044980185307015,Very High,Very High,#f82216
102,동수원,영동선,127.04704,37.298118,36338.82669322709,1254.0966135458168,37592.92330677291,338.68680425189723,0.0328544016712009,0.2700643639362827,1366.804780876494,1141.3884462151395,-0.0898719971916738,0.0898719971916738,0.0842758453445231,0.1171664660458608,0.003735774442559,0.1138293527411557,0.0839457188538581,Moderate,POINT (127.04704 37.298118),-0.2266992028628594,0.095,2,False,Not significant,#d9d9d9,0.5963145671905431,1.0,0.050058055005837404,0.0839457188538581,Moderate,Low,#9ecae1
103,수원신갈,경부선,127.102395,37.266835,39422.44322709164,3336.434262948207,42758.87749003984,1048.512777950169,0.0765024260345521,0.314261482563622,3250.8107569721114,3422.0577689243028,0.0256631778803384,0.0256631778803384,0.2070298953732839,0.3120694856500189,0.0055156501529955,0.0325042618244017,0.1633337967024703,Very High,POINT (127.102395 37.266835),0.0599692262543179,0.352,1,False,Not significant,#d9d9d9,0.5963145671905431,1.0,0.09739832228822173,0.1633337967024703,Very High,Moderate,#fee08b
104,지곡,중부선-대전통영선A,127.76836,35.59021,730.1394422310757,115.96812749003983,846.1075697211155,52.11738973836143,0.1493393867506755,0.4494113241833419,123.2609561752988,108.67529880478088,-0.0628864916861343,0.0628864916861343,0.4118738041206676,0.0106397081526627,0.010958310847611,0.0796502678084239,0.1448757694132061,High,POINT (127.76836 35.59021),0.3551629977531885,0.008,1,True,High-High,#d73027,0.5963145671905431,1.0,0.08639153173403291,0.1448757694132061,High,Moderate,#fee08b
105,기흥,경부선,127.102448,37.222267,18446.86752988048,791.8326693227092,19238.700199203187,276.76463628280965,0.0403108261479074,0.3495241444376615,786.9741035856574,796.691235059761,0.0061358490566037,0.0061358490566037,0.1052460110415949,0.0738994009716311,0.0069357236171537,0.0077714944416005,0.0566850672157187,Low,POINT (127.102448 37.222267),0.1664793300894889,0.338,3,False,Not significant,#d9d9d9,0.5963145671905431,1.0,0.03380213132290814,0.0566850672157187,Low,Low,#9ecae1
106,오산,경부선,127.08013,37.143445,22603.79183266932,2388.026892430279,24991.8187250996,775.5909902271554,0.0934704583654495,0.3247831892872201,2346.003984063745,2430.0498007968126,0.017597334644656,0.017597334644656,0.254750146633625,0.2233002793775236,0.0059393730293118,0.0222882908488017,0.1490606605789673,Very High,POINT (127.08013 37.143445),-0.1017651072568388,0.285,4,False,Not significant,#d9d9d9,0.5963145671905431,1.0,0.08888704329828334,0.1490606605789673,Very High,Moderate,#fee08b
107,안성,경부선,127.15041,36.995586,20439.45717131474,1068.3247011952192,21507.78187250996,301.72672916090767,0.049486509978193,0.2824297976292621,1048.1852589641437,1088.4641434262949,0.0188514242987587,0.0188514242987587,0.1310513566071713,0.0997785526663176,0.0042337466127523,0.0238766856554891,0.0748710592356949,Moderate,POINT (127.15041 36.995586),-0.4042372596973219,0.048,2,True,Low-High,#74add1,0.5963145671905431,1.0,0.04464670328323092,0.0748710592356949,Moderate,Low,#9ecae1
108,천안,경부선,127.166314,36.826143,29831.203187250994,2284.8695219123506,32116.072709163345,702.6190414124173,0.0699435170385861,0.3075094812522824,2305.994023904382,2263.7450199203186,-0.0092453865699742,0.0092453865699742,0.1885838682101181,0.2136449369722517,0.0052437382387321,0.0117099475029742,0.1240593787030522,High,POINT (127.166314 36.826143),0.0709810061881957,0.012,1,True,High-High,#d73027,0.5963145671905431,1.0,0.07397841471723825,0.1240593787030522,High,Moderate,#fee08b
109,계룡,호남선지선,127.276469,36.25332,3561.967131474104,436.554780876494,3998.5219123505976,179.15266939178215,0.106953875067372,0.4103784387198507,425.4262948207172,447.6832669322709,0.0254916142103257,0.0254916142103257,0.292670396920512,0.0406460362847711,0.0093864055537274,0.032286964088492,0.1083296038900288,High,POINT (127.276469 36.25332),0.0676046353704239,0.082,3,False,Not significant,#d9d9d9,0.5963145671905431,1.0,0.0645985208576055,0.1083296038900288,High,Moderate,#fee08b
110,독립기념관,경부선,127.230608,36.768049,6546.947211155379,1211.288844621514,7758.2360557768925,494.2941614876888,0.1522671165094193,0.4080729081940308,1228.988047808765,1193.589641434263,-0.0146118766517505,0.0146118766517505,0.4201076403713933,0.1131597366721408,0.0092935588272886,0.0185069934303903,0.165540323564596,Very High,POINT (127.230608 36.768049),0.2108985022322478,0.172,1,False,Not significant,#d9d9d9,0.5963145671905431,1.0,0.09871410639900452,0.165540323564596,Very High,Moderate,#fee08b
